tarefa,paradigma,metrica,mean,ci_lo,ci_hi
T1,cpp,RAM,18091.47,17972.3,18210.63
T1,cpp,CPU,4.07,3.91,4.22
T1,cpp,Latencia,38030.53,37688.07,38373.0
T1,python,RAM,55004.4,54588.84,55419.96
T1,python,CPU,8.13,7.95,8.31
T1,python,Latencia,96059.8,95263.0,96856.6
T1,electron,RAM,218944.53,217340.74,220548.33
T1,electron,CPU,22.29,21.87,22.7
T1,electron,Latencia,313626.83,311301.04,315952.63
T2,cpp,RAM,31594.23,31267.17,31921.29
T2,cpp,CPU,11.38,11.12,11.64
T2,cpp,Latencia,72069.5,71670.55,72468.45
T2,python,RAM,97768.17,97052.83,98483.5
T2,python,CPU,23.51,23.04,23.97
T2,python,Latencia,198655.03,197406.61,199903.46
T2,electron,RAM,390313.0,388150.93,392475.07
T2,electron,CPU,51.14,50.24,52.03
T2,electron,Latencia,740271.37,735350.86,745191.87
T3,cpp,RAM,24072.83,23830.74,24314.93
T3,cpp,CPU,7.14,6.94,7.35
T3,cpp,Latencia,58193.4,57742.88,58643.92
T3,python,RAM,72865.2,72294.1,73436.3
T3,python,CPU,15.6,15.31,15.89
T3,python,Latencia,148792.07,147677.02,149907.11
T3,electron,RAM,298042.4,295838.26,300246.54
T3,electron,CPU,39.22,38.59,39.84
T3,electron,Latencia,1253428.73,1246386.13,1260471.33
