tarefa,paradigma,metrica,W,p,normalidade
T1,cpp,RAM,0.9849,0.9361,Não rejeitada (p>0.05)
T1,cpp,CPU,0.9755,0.698,Não rejeitada (p>0.05)
T1,cpp,Latencia,0.9758,0.707,Não rejeitada (p>0.05)
T1,python,RAM,0.9404,0.0933,Não rejeitada (p>0.05)
T1,python,CPU,0.9384,0.0824,Não rejeitada (p>0.05)
T1,python,Latencia,0.9215,0.0294,Rejeitada (p≤0.05)
T1,electron,RAM,0.9824,0.8849,Não rejeitada (p>0.05)
T1,electron,CPU,0.9359,0.0708,Não rejeitada (p>0.05)
T1,electron,Latencia,0.9728,0.6189,Não rejeitada (p>0.05)
T2,cpp,RAM,0.9473,0.1427,Não rejeitada (p>0.05)
T2,cpp,CPU,0.9581,0.2764,Não rejeitada (p>0.05)
T2,cpp,Latencia,0.9415,0.0997,Não rejeitada (p>0.05)
T2,python,RAM,0.9835,0.9098,Não rejeitada (p>0.05)
T2,python,CPU,0.9302,0.0497,Rejeitada (p≤0.05)
T2,python,Latencia,0.9719,0.5936,Não rejeitada (p>0.05)
T2,electron,RAM,0.9809,0.8489,Não rejeitada (p>0.05)
T2,electron,CPU,0.9805,0.8394,Não rejeitada (p>0.05)
T2,electron,Latencia,0.9788,0.7936,Não rejeitada (p>0.05)
T3,cpp,RAM,0.9587,0.2872,Não rejeitada (p>0.05)
T3,cpp,CPU,0.9746,0.6711,Não rejeitada (p>0.05)
T3,cpp,Latencia,0.974,0.6521,Não rejeitada (p>0.05)
T3,python,RAM,0.9634,0.3777,Não rejeitada (p>0.05)
T3,python,CPU,0.9805,0.8383,Não rejeitada (p>0.05)
T3,python,Latencia,0.9741,0.6564,Não rejeitada (p>0.05)
T3,electron,RAM,0.9787,0.7911,Não rejeitada (p>0.05)
T3,electron,CPU,0.9887,0.9827,Não rejeitada (p>0.05)
T3,electron,Latencia,0.9667,0.4526,Não rejeitada (p>0.05)
